X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
-77.074598588209,38.9558858764497,23015574,2023/01/29 17:32:46+00,DAY,OTHERS,THEFT F/AUTO,5100 - 5149 BLOCK OF 38TH STREET NW,393534.3,143110.89,3,3E,2,202,Cluster 11,001100 4,001100,Precinct 32,38.9558780798,-77.074596278,,2023/01/28 05:01:00+00,2023/01/28 20:00:00+00,334464675,
-77.0312192385833,38.9386856374894,23015632,2023/01/29 19:31:59+00,DAY,OTHERS,ROBBERY,1300 - 1399 BLOCK OF RANDOLPH STREET NW,397293.59,141199.33,4,4C,4,404,Cluster 18,002504 1,002504,Precinct 47,38.9386778427,-77.031216943,,2023/01/29 05:00:00+00,2023/01/29 05:30:00+00,334464676,
-77.0090680223146,38.9051732645408,23015731,2023/01/29 23:33:07+00,EVENING,OTHERS,THEFT/OTHER,1120 - 1199 BLOCK OF NORTH CAPITOL STREET,399213.66,137478.75,6,6E,1,102,Cluster 8,004704 1,004704,Precinct 1,38.9051654756,-77.0090657356,,2023/01/23 22:09:00+00,2023/01/23 23:00:00+00,334464677,
-77.040877886926,38.9238776823034,23015822,2023/01/30 02:44:36+00,EVENING,OTHERS,THEFT/OTHER,1737 - 1776 BLOCK OF COLUMBIA ROAD NW,396455.48,139555.85,1,1C,3,303,Cluster 1,003901 2,003901,Precinct 35,38.9238698908,-77.0408755892,ADAMS MORGAN,2023/01/30 02:03:00+00,,334464678,
-77.0216973583249,38.8778007377888,23015872,2023/01/30 05:10:00+00,MIDNIGHT,OTHERS,THEFT/OTHER,610 - 699 BLOCK OF MAINE AVENUE SW,398117.5,134440.37,6,6D,1,103,Cluster 9,010202 5,010202,Precinct 142,38.8777929549,-77.0216950694,SOUTHWEST,2023/01/29 18:00:00+00,2023/01/29 22:00:00+00,334464679,
-77.0588789953229,38.9362028291005,23070303,2023/05/05 17:30:38+00,DAY,OTHERS,THEFT/OTHER,3500 - 3599 BLOCK OF CONNECTICUT AVENUE NW,394895.4,140924.9,3,3C,2,203,Cluster 15,001304 1,001304,Precinct 34,38.9361950358,-77.0588766912,,2023/05/05 15:48:00+00,2023/05/05 15:52:00+00,334464863,
-77.0027755860963,38.896131443011,23071138,2023/05/06 21:49:08+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,200 - 299 BLOCK OF E STREET NE,399759.42,136475,6,6C,1,104,Cluster 25,008301 2,008301,Precinct 84,38.8961236557,-77.0027733019,CAPITOL HILL,2023/05/05 22:00:00+00,2023/05/06 21:00:00+00,334464864,
-77.0405979414302,38.9247806839212,23071322,2023/05/07 03:54:46+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,2700 - 2799 BLOCK OF ONTARIO ROAD NW,396479.8,139656.08,1,1C,3,303,Cluster 1,003901 2,003901,Precinct 35,38.9247728922,-77.0405956437,ADAMS MORGAN,2023/05/07 02:19:00+00,2023/05/07 03:52:00+00,334464865,
-77.0033024438596,38.8347492026147,23071893,2023/05/08 05:09:03+00,MIDNIGHT,GUN,ROBBERY,166 - 199 BLOCK OF MISSISSIPPI AVENUE SE,399713.469181687,129661.122805756,8,8D,7,707,Cluster 39,009803 3,009803,Precinct 124,38.8347414278,-77.0033001635,,2023/05/08 03:13:00+00,2023/05/08 03:13:00+00,334464866,
-76.9348858294702,38.8757007762358,23072471,2023/05/09 02:57:58+00,EVENING,OTHERS,THEFT F/AUTO,1200 - 1299 BLOCK OF 45TH PLACE SE,405650.375235196,134209.049593977,7,7E,6,604,Cluster 33,007707 1,007707,Precinct 106,38.8756929905,-76.9348835673,,2023/05/09 02:51:00+00,2023/05/09 02:57:00+00,334464867,
-77.0494882110871,38.8983304745865,23072536,2023/05/09 08:24:03+00,MIDNIGHT,OTHERS,THEFT/OTHER,2200 - 2299 BLOCK OF G STREET NW,395707.3,136720.27,2,2A,2,207,Cluster 5,010800 3,010800,Precinct 2,38.8983226886,-77.0494859122,,2023/05/08 20:30:00+00,2023/05/08 21:00:00+00,334464868,
-77.0998616865262,38.9422202891567,23072903,2023/05/09 21:25:40+00,EVENING,OTHERS,THEFT F/AUTO,5000 - 5101 BLOCK OF UPTON STREET NW,391342.94,141595.98,3,3D,2,205,Cluster 13,000904 2,000904,Precinct 9,38.9422124962,-77.0998593693,,2023/05/09 17:00:00+00,2023/05/09 20:20:00+00,334464869,
-77.0757166407352,38.9583638723888,23073370,2023/05/10 19:03:21+00,EVENING,OTHERS,THEFT F/AUTO,3800 - 3849 BLOCK OF INGOMAR STREET NW,393437.62,143386.05,3,3/4G,2,201,Cluster 10,001100 3,001100,Precinct 32,38.9583560753,-77.07571433,,2023/05/10 16:30:00+00,2023/05/10 18:15:00+00,334464870,
-76.9326896012291,38.89621856397,23073573,2023/05/10 23:56:04+00,EVENING,GUN,ROBBERY,4900 - 4915 BLOCK OF FITCH PLACE NE,405839.27,136486.82,7,7C,6,602,Cluster 31,007804 2,007804,Precinct 97,38.896210774,-76.9326873389,,2023/05/10 22:59:00+00,2023/05/10 23:55:00+00,334464871,
-77.0089120368271,38.8193951166034,23073868,2023/05/11 15:39:21+00,DAY,OTHERS,MOTOR VEHICLE THEFT,100 - 199 BLOCK OF JOLIET STREET SW,399226.26,127956.75,8,8D,7,708,Cluster 39,010900 2,010900,Precinct 126,38.819387345,-77.0089097554,,2023/05/11 14:17:00+00,2023/05/11 15:04:00+00,334464872,
-76.9341820423037,38.9036291530527,23073925,2023/05/11 18:01:58+00,DAY,OTHERS,ROBBERY,4700 - 4799 BLOCK OF KANE PLACE NE,405709.21,137309.36,7,7C,6,602,Cluster 31,007806 2,007806,Precinct 93,38.9036213617,-76.934179779,,2023/05/11 14:00:00+00,2023/05/11 14:30:00+00,334464873,
-76.9238765125594,38.9042216820276,23074520,2023/05/12 16:18:44+00,DAY,OTHERS,THEFT F/AUTO,1100 - 1103 BLOCK OF EASTERN AVENUE NE,406603.050660081,137375.830364915,7,7C,6,602,Cluster 31,007806 1,007806,Precinct 93,38.9042138898,-76.9238742529,,2023/05/12 15:30:00+00,2023/05/12 16:08:00+00,334464874,
-76.9781374231232,38.885354798414,23074524,2023/05/12 16:28:46+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1800 - 1899 BLOCK OF C STREET SE,401897.031359713,135278.931674969,7,7D,1,107,Cluster 26,006801 1,006801,Precinct 87,38.8853470121,-76.9781351478,,2023/05/12 15:07:00+00,2023/05/12 16:20:00+00,334464875,
-76.9761131718923,38.9149229780522,23075025,2023/05/13 07:09:56+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,1931 - 1999 BLOCK OF MONTANA AVENUE NE,402071.8,138561.28,5,5C,5,506,Cluster 23,008804 2,008804,Precinct 76,38.914915186,-76.9761108949,,2023/05/12 18:00:00+00,2023/05/13 06:30:00+00,334464876,
-77.0144115705407,38.9072450084158,23075340,2023/05/13 21:58:00+00,EVENING,OTHERS,ROBBERY,200 - 299 BLOCK OF N STREET NW,398750.21,137708.79,5,5E,3,308,Cluster 21,004600 2,004600,Precinct 1,38.9072372193,-77.0144092821,,2023/05/13 21:03:00+00,2023/05/13 21:05:00+00,334464877,
-77.013289949517,38.9162877143037,23420155,2023/01/09 16:22:40+00,DAY,OTHERS,THEFT/OTHER,100 - 199 BLOCK OF THOMAS STREET NW,398847.64,138712.59,5,5E,3,306,Cluster 21,003301 2,003301,Precinct 135,38.9162799233,-77.0132876608,,2023/01/05 20:30:00+00,2023/01/06 00:30:00+00,334464878,
-77.0341073499266,38.9025218026861,23420281,2023/01/17 17:35:09+00,DAY,OTHERS,THEFT/OTHER,1434 - 1499 BLOCK OF K STREET NW,397041.7,137184.93,2,2C,2,207,Cluster 8,010100 1,010100,Precinct 129,38.9025140153,-77.0341050556,DOWNTOWN,2023/01/10 22:20:00+00,2023/01/10 23:30:00+00,334464879,
-77.0319037921013,38.9213806671537,23420300,2023/01/17 18:49:43+00,DAY,OTHERS,THEFT/OTHER,2401 - 2499 BLOCK OF 14TH STREET NW,397233.57,139278.35,1,1B,3,304,Cluster 2,003701 2,003701,Precinct 23,38.9213728758,-77.0319014973,,2023/01/14 23:25:00+00,2023/01/14 23:30:00+00,334464880,
-77.0416570898111,38.9165427363465,23420357,2023/02/01 15:02:34+00,DAY,OTHERS,THEFT/OTHER,1924 - 1937 BLOCK OF 18TH STREET NW,396387.54,138741.64,2,2B,3,301,Cluster 6,004201 2,004201,Precinct 141,38.9165349464,-77.0416547923,,2023/01/12 03:05:00+00,2023/01/12 03:05:00+00,334464881,
-77.0280839098994,38.8990708621906,23420377,2023/02/01 16:32:29+00,DAY,OTHERS,THEFT/OTHER,700 - 799 BLOCK OF 12TH STREET NW,397564.06,136801.67,2,2C,2,209,Cluster 8,005802 1,005802,Precinct 129,38.8990630752,-77.0280816177,DOWNTOWN,2023/01/19 22:00:00+00,2023/01/19 23:00:00+00,334464882,
-77.0423627855842,38.9243182008629,23073586,2023/05/11 02:24:11+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1730 - 1797 BLOCK OF LANIER PLACE NW,396326.74,139604.81,1,1C,3,303,Cluster 1,003902 2,003902,Precinct 35,38.9243104093,-77.0423604874,ADAMS MORGAN,2023/05/10 23:46:00+00,2023/05/11 00:13:00+00,334464913,
-77.0143271515773,38.9748456692839,23074701,2023/05/12 21:40:58+00,EVENING,OTHERS,THEFT/OTHER,100 - 199 BLOCK OF CARROLL STREET NW,398758.71,145213.06,4,4B,4,401,Cluster 17,001702 2,001702,Precinct 63,38.9748378665,-77.014324859,,2023/05/12 20:05:00+00,2023/05/12 20:12:00+00,334464914,
-77.0416836705711,38.9192095534576,23075197,2023/05/13 16:17:05+00,DAY,OTHERS,THEFT/OTHER,2200 - 2299 BLOCK OF 18TH STREET NW,396385.37,139037.68,1,1C,3,303,Cluster 1,004002 2,004002,Precinct 25,38.9192017629,-77.0416813729,ADAMS MORGAN,2023/05/13 14:43:00+00,,334464915,
-77.0135415397893,38.9186512014249,23420002,2023/01/03 14:42:27+00,DAY,OTHERS,THEFT/OTHER,2100 - 2199 BLOCK OF FLAGLER PLACE NW,398825.86,138974.96,5,5E,3,306,Cluster 21,003301 3,003301,Precinct 135,38.91864341,-77.0135392509,,2022/12/28 20:36:00+00,2022/12/28 20:37:00+00,334464916,
-77.0389460772901,38.9222626092598,23420115,2023/01/06 15:12:49+00,DAY,OTHERS,THEFT/OTHER,2400 - 2499 BLOCK OF 17TH STREET NW,396622.92,139376.49,1,1C,3,303,Cluster 1,003802 3,003802,Precinct 24,38.922254818,-77.0389437803,,2022/11/01 15:00:00+00,2022/12/31 16:00:00+00,334464917,
-77.0329954982854,38.9226368451182,23420214,2023/01/10 19:09:36+00,DAY,OTHERS,THEFT/OTHER,1400 - 1499 BLOCK OF CLIFTON STREET NW,397138.95,139417.83,1,1B,3,304,Cluster 2,003701 1,003701,Precinct 23,38.9226290536,-77.0329932031,,2023/01/10 16:35:00+00,2023/01/10 16:35:00+00,334464918,
-76.99258129934,38.9182640323966,23420571,2023/02/07 18:53:00+00,DAY,OTHERS,THEFT/OTHER,901 - 1098 BLOCK OF BRENTWOOD ROAD NE,400643.56,138931.92,5,5C,5,505,Cluster 22,009102 4,009102,Precinct 72,38.9182562402,-76.992579017,,2023/01/17 23:30:00+00,2023/01/18 00:00:00+00,334464919,
-77.0319554390246,38.9100250159937,23420669,2023/02/07 20:02:45+00,EVENING,OTHERS,THEFT/OTHER,1500 - 1520 BLOCK OF 14TH STREET NW,397228.65,138017.78,2,2F,3,307,Cluster 7,005001 2,005001,Precinct 16,38.910017227,-77.0319531449,,2023/02/03 03:00:00+00,2023/02/04 03:00:00+00,334464920,
-77.0355264536363,38.9155799685355,23420767,2023/02/13 17:52:18+00,DAY,OTHERS,THEFT/OTHER,1500 - 1599 BLOCK OF T STREET NW,396919.17,138634.54,2,2B,3,301,Cluster 6,004300 1,004300,Precinct 141,38.9155721785,-77.0355241581,,2023/02/09 19:46:00+00,2023/02/09 19:52:00+00,334464921,
-77.0033024438596,38.8347492026147,23046773,2023/03/26 21:05:22+00,EVENING,OTHERS,THEFT F/AUTO,166 - 199 BLOCK OF MISSISSIPPI AVENUE SE,399713.469181687,129661.122805756,8,8D,7,707,Cluster 39,009803 2,009803,Precinct 124,38.8347414278,-77.0033001635,,2023/03/25 00:00:00+00,2023/03/25 19:53:00+00,334465161,
-77.0112892906539,38.9632472593805,23047023,2023/03/27 06:35:44+00,MIDNIGHT,OTHERS,THEFT/OTHER,6000 - 6099 BLOCK OF BLAIR ROAD NW,399021.79,143925.49,4,4B,4,406,Cluster 17,001902 2,001902,Precinct 64,38.9632394589,-77.0112869997,,2023/03/22 14:30:00+00,2023/03/23 00:30:00+00,334465162,
-77.0409171915149,38.9881534483912,23047139,2023/03/27 12:50:55+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1700 - 1778 BLOCK OF PORTAL DRIVE NW,396455.27,146691.05,4,4A,4,401,Cluster 16,001600 4,001600,Precinct 62,38.988145644,-77.0409148898,,2023/03/26 01:00:00+00,2023/03/27 12:00:00+00,334465163,
